age,income,employment_status,credit_limit,balance_to_limit_ratio,marital_status,sex,education_level,inflation_rate,interest_rate,exchange_rate_volatility,unemployment_rate,duration,loan_status,event
56,178.71073594848548,unemployed,1203.811984886951,0.4257738861463444,divorced,2,high_school,165.8034865086516,9.19348056848819,18.471631905746495,14.203277558429,59,active,0
69,540.6927271734446,employed,655.3617894524032,0.14203759643705266,divorced,1,high_school,128.67111913341603,22.412668549105923,27.86376194622237,16.267268865857467,60,active,0
46,348.72985094313935,employed,1199.8937502727636,0.03901952045667293,married,1,high_school,98.29634212341169,23.301715272813407,17.499108179869047,12.160152817437066,39,default,1
32,215.54925808046517,employed,1138.7773878561854,0.1940778060615878,married,2,bachelor,73.28692741172014,23.737730628932297,5.044299255226667,13.884308909501115,1,closed,0
60,370.68542315149466,unemployed,482.25798136282094,0.3468449412827931,divorced,1,postgrad,83.07130441842942,18.024765739152162,13.193849035428135,9.95767330102446,48,default,1
25,283.690399277121,employed,796.7306042993034,0.18713062491593715,married,1,postgrad,82.2189153112868,21.545234175120175,15.612454626872273,12.876796368467136,2,default,1
38,837.4283270145129,employed,1358.2328209142117,0.1169086680659166,single,2,bachelor,119.65700885541281,27.119769227705834,15.436787126301319,15.988602731911573,47,default,1
56,676.3279513898901,employed,705.6503406580955,0.08849373873910868,divorced,1,postgrad,107.70992336757492,27.068848241456294,11.345934371956234,10.231729765539328,57,default,1
36,498.40547173667653,employed,860.6787213071837,0.2642046548985846,single,1,high_school,60.29051287473463,19.854136503867196,16.226458713184677,9.41566971160714,11,closed,0
40,795.9888277780051,employed,1138.6182679755689,0.13388499894710104,divorced,2,high_school,86.922955927287,20.6965981536478,8.787495815403064,12.292466817071091,60,default,1
28,515.4736615295236,employed,1235.0171527847785,0.12830424923502665,single,2,postgrad,126.32642660354261,25.554555723672166,10.275456386574664,11.320013388828002,60,default,1
28,327.7431597343473,employed,924.5383341866512,0.11955361079034603,divorced,2,high_school,110.54987064922177,12.495989923689127,18.228988208018556,13.947443163211261,60,default,1
41,804.6248154539314,employed,820.7469415925075,0.09120852497260588,single,2,high_school,117.05933848038312,18.384621286614877,9.921683845600871,10.640221422158874,18,default,1
53,607.7820087369317,employed,1426.7109585095523,0.4678488728331676,divorced,2,postgrad,111.48765130171789,26.677852277683783,17.691058027461285,17.155318846808143,44,default,1
57,292.55076913470873,employed,1521.6698991392736,0.24931934869693026,divorced,1,bachelor,148.79292203826577,24.87600270842383,8.15268112671971,8.130971706116833,60,active,0
41,461.9322643832784,employed,1293.6574152345386,0.5237452258842435,married,2,postgrad,107.0812919147311,21.846318888249524,23.82412941895868,15.761204358659203,19,default,1
20,324.87634932304854,employed,1025.5954427695071,0.1888453772177454,single,2,postgrad,88.41931606387907,12.470837973346898,11.128650387979727,9.705452315075691,60,closed,0
39,223.4400538071328,employed,757.5202835077221,0.33037380134393224,married,1,postgrad,72.52734876599318,19.75044883479419,13.88166714098278,6.61205179624793,1,default,1
19,685.2355095063283,employed,750.8666780330304,0.48310690859126426,single,1,postgrad,107.48828374629136,17.050423018750337,16.65306630545203,12.713625469046603,1,active,0
41,881.8833280940261,employed,1156.7542315797273,0.5629704724691438,married,1,bachelor,26.778879556747484,21.655194514086066,12.173250237494528,11.23617604195835,60,closed,0
61,220.28648523617176,employed,1125.5194662666051,0.2654684595638949,divorced,1,bachelor,94.47132994501864,15.953266576025598,15.717029805356523,8.671171896290907,60,active,0
47,612.5938473381142,employed,1420.4795778839289,0.20332027378321033,married,1,high_school,93.82480420235969,14.871383025126963,17.876783622600627,6.955869324854207,60,active,0
55,369.8714861756346,employed,1195.1350277608417,0.21137934943885126,married,2,high_school,59.06587439148157,9.675673611581793,19.803066162517425,11.97491763818563,60,active,0
19,402.5749232470608,unemployed,549.0759094720546,0.14507702325362276,divorced,1,postgrad,72.15202484032012,26.109023424883507,18.957487179864785,14.927510674871453,6,default,1
38,381.52121515222615,employed,1315.5842853168756,0.11224895460534887,married,2,high_school,124.28972590444724,18.001147442784713,14.14094768098663,13.754860479259333,13,default,1
50,327.2018460640368,unemployed,700.5818118056761,0.25447516606995296,divorced,1,bachelor,106.92135247224888,20.78572891851267,14.266841129781989,12.170119946517797,60,default,1
29,509.7043255889654,employed,884.8086184142945,0.17713755075876503,single,2,high_school,103.05365001121983,19.988809417629096,26.745542790125164,13.436542719653206,9,default,1
39,333.80997671779244,employed,1075.0600618755084,0.5625851533400333,married,1,high_school,109.19042601796068,14.662830335197503,19.74944534124646,11.918357602866429,57,default,1
61,554.0913651559678,employed,1598.7002469351892,0.05988625613699209,divorced,2,high_school,102.7788276384677,13.704675442759033,10.390881718398932,7.7108272709088865,37,default,1
42,489.9523781101726,employed,1932.9755668016082,0.33221933021243255,divorced,2,postgrad,137.28587688574945,14.973424370013824,15.49994081882776,7.737318044329671,4,active,0
66,452.21039062671804,employed,1182.0169177408548,0.13282509332979364,married,2,high_school,103.70287545110946,16.384157805853036,13.324284306109037,11.390494413045964,16,default,1
44,318.4872675916804,employed,945.0410143838836,0.2912434279172804,single,2,bachelor,56.25360658543749,21.833031235069026,14.323328830384451,11.518040140901777,36,default,1
59,384.64573388633346,employed,1160.3516945441652,0.2117896328865852,married,2,bachelor,148.90389894623232,16.02141168239694,8.85252421145956,14.552948035520295,60,default,1
45,651.0782451651512,employed,1266.2966277621508,0.27787292488231896,divorced,2,bachelor,111.11020801986537,28.732453157973108,12.940383828070235,14.271912671324241,60,default,1
33,600.1834375248761,employed,903.7997123328425,0.19006216839104254,single,2,bachelor,82.32238807614797,25.135755179465754,24.057778865969567,13.815399047276848,48,default,1
32,304.48895104028975,employed,1538.5634067736967,0.21374500041783828,married,2,high_school,62.397948451149446,24.04179774832854,17.895381504377514,11.159151860768457,34,active,0
64,519.8664610858452,employed,1069.0212277574205,0.11603600325909766,divorced,2,postgrad,111.87742662874136,19.40170548763425,2.5441929592427,7.858043489669582,17,closed,0
68,650.2774246743578,employed,1149.3229267274182,0.19600880118123296,married,2,bachelor,96.48483985076874,27.57140367860242,21.083617462489734,13.236213411198072,6,active,0
61,166.11894377572565,employed,1199.7772756163383,0.19460414633823603,single,1,bachelor,147.22440358097225,18.90997184439438,20.448147614545807,13.575507939786505,26,active,0
69,608.672038475987,employed,1126.4759831843367,0.12016596269169015,single,2,postgrad,89.62278157999516,19.84369292922877,13.203573478467916,4.834405612566942,1,default,1
20,367.47524821083067,employed,1251.6821501408836,0.2881738348704263,single,2,postgrad,74.878576309526,20.849872698746346,18.586317718916074,9.496985440252011,11,default,1
54,614.1197337186319,employed,814.8240440359231,0.19451076843381124,single,1,bachelor,126.87388654707786,23.50911520271672,10.703003945913997,9.926836867818313,28,active,0
68,347.34816869149665,unemployed,832.5094738161908,0.22190174670034968,single,2,bachelor,127.75845678150495,23.184540395014928,12.648721418668213,12.355050603370309,27,closed,0
24,139.0235798670962,unemployed,669.9537301084915,0.49244241405815076,married,2,postgrad,105.05954102830586,17.624373607776985,22.49273180334927,9.589918701702919,2,closed,0
38,174.49151242336745,employed,1131.8503691860678,0.08506599782258312,single,1,bachelor,120.29071143024726,17.335031402870232,13.641349800651458,11.88559629352608,44,default,1
26,509.6169893322764,employed,1233.6809510536343,0.17078468035505964,single,1,bachelor,98.86938637773287,23.19951478576042,5.6513416902250455,11.368395178941023,39,default,1
56,551.9445003442963,employed,1137.3318598455658,0.3275299415979275,divorced,2,high_school,107.01595303027742,23.576182919456162,14.683483886093317,11.522551585386816,4,default,1
35,319.1366749791183,employed,1502.3477300042612,0.3146017534698956,single,1,postgrad,134.9497264769177,18.033244375885637,14.607058035428215,9.850817118897762,60,default,1
21,627.7184917554748,employed,998.3211943512861,0.5591300431761457,divorced,2,high_school,118.7595500206451,12.06405965160773,20.9918428468673,10.083044837799967,5,default,1
42,167.69598754620802,employed,1200.6224966777538,0.05690746574113332,divorced,2,high_school,94.92176685002126,18.963419519958777,15.0716821108788,8.759198820657922,60,closed,0
31,486.7840402705367,unemployed,672.4897371582057,0.5215862971395819,divorced,2,postgrad,140.57087637778451,23.117628994129294,12.892088442798537,13.140202321721496,1,closed,0
67,257.79676004750866,employed,883.8700892576796,0.11091117446247269,married,1,high_school,29.054338816254628,29.027084232098904,20.22528072615603,13.713307885774105,60,closed,0
26,369.63277843956814,employed,1208.6613272697332,0.22652284530795472,married,2,bachelor,161.56219934265806,14.01021018829669,15.60395116250555,9.688146149623984,1,active,0
43,509.4797342632828,employed,1254.7306332229432,0.08232379528839835,divorced,2,high_school,48.821227153277945,17.867143735847133,11.249886592171414,16.561920288051134,60,active,0
